probe	note	Resolution integral	Depth of field	Characteristic resolution
6C1	ST	35.23	118.72	3.37
6C1	EPP	69.97	179.41	2.564
4C1	ST	23.09	123.46	5.346
4C1	EPP	73.82	167.5	2.269
18L6	ST1	29.3	48.42	1.652
18L6	ST2	28.16	41.1	1.46
18L6	EPP	65.98	51.37	0.779
C15	ST	28.96	134.01	4.627
C15	EPP	88	163	1.97
9L4	ST1	34.21	86.76	2.536
9L4	ST2	37.1	90.35	2.435
9L4	EPP	94	91	0.96
14L5	ST1	25.02	38.74	1.549
14L5	ST2	25.63	39.22	1.53
14L5	EPP	70	52	0.75
ML615	ST	23.47	71.86	3.062
ML615	EPP	105	71	0.67
9L	ST1	32.05	94.73	2.956
9L	ST2	32.75	99.12	3.027
9L	EPP	99	120	1.21
