probe	note	Resolution integral	Depth of field	Characteristic resolution
6C1	ST	35.23	118.72	3.37
6C1	EPP	69.97	179.41	2.564
4C1	ST	23.09	123.46	5.346
4C1	EPP	73.82	167.5	2.269
18L6	ST1	29.74	48.78	1.64
18L6	ST2	28.16	41.1	1.46
18L6	EPP	65.98	51.37	0.779
C15	ST	28.96	134.01	4.627
C15	EPP	88	163	1.97
9L4	ST1	34.21	86.76	2.536
9L4	ST2	37.1	90.35	2.435
9L4	EPP	94	91	0.96
14L5	AVG	25.33	38.98	1.54
14L5	EPP	70	52	0.75
ML615	ST	23.47	71.86	3.062
ML615	EPP	105	71	0.67
9L	AVG	32.4	96.93	2.992
9L	EPP	99	120	1.21
